"nom_estacio";"nom_contaminant";"valor";"month";"data";"longitud";"latitud"
"Barcelona (el Poblenou)";"PM10";11,1;"2024-02";2024-02-10;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";10;"2024-02";2024-02-12;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";13;"2024-02";2024-02-26;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";24,9;"2024-02";2024-02-14;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";16,9;"2024-02";2024-02-16;2,20473014;41,40370072
"Barcelona (el Poblenou)";"PM10";18,4;"2024-02";2024-02-28;2,20473014;41,40370072
"Badalona (Assemblea de Catalunya)";"PM10";28,65;"2023-02";2023-02-09;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";15,16;"2023-02";2023-02-24;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";17,52;"2023-02";2023-02-27;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";26,92;"2023-02";2023-02-01;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";32,82;"2023-02";2023-02-13;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";38,94;"2023-02";2023-02-17;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";34,08;"2023-02";2023-02-19;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";41,54;"2023-02";2023-02-21;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";34,63;"2023-02";2023-02-23;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";16,97;"2023-02";2023-02-25;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";21,7;"2023-02";2023-02-08;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";34,63;"2023-02";2023-02-11;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";36,72;"2023-02";2023-02-18;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";31,43;"2023-02";2023-02-20;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";29,35;"2023-02";2023-02-22;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";32,13;"2023-02";2023-02-02;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";31,02;"2023-02";2023-02-10;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";27,68;"2023-02";2023-02-12;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";13,07;"2023-02";2023-02-26;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";32,82;"2023-02";2023-02-16;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";16,43;"2023-02";2023-02-28;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";25,17;"2023-03";2023-03-15;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";30,18;"2023-03";2023-03-24;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";19,05;"2023-03";2023-03-27;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";20,14;"2023-03";2023-03-01;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";32,13;"2023-03";2023-03-17;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";12,52;"2023-03";2023-03-19;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";28,65;"2023-03";2023-03-23;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";19,75;"2023-03";2023-03-25;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";25,03;"2023-03";2023-03-18;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";15,16;"2023-03";2023-03-20;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";24,23;"2023-03";2023-03-29;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";31,29;"2023-03";2023-03-02;2,24823024;41,45130205
