"timestamp";"station_id";"station_name";"station_province";"altitude";"mean_temperature";"min_temperature";"max_temperature";"mean_relative_humidity";"min_relative_humidity";"max_relative_humidity";"precipitation";"mean_wind_direction";"mean_wind_speed";"global_solar_radiation";"geometry";"CodiEscola"
2024-01-25;"WU";"Badalona - Museu";"Barcelona";42;13,7;9.8;17;75;57;84;0;NA;NA;10.5;c(2.24757, 41.45215);"2"
2024-01-25;"X1";"Falset";"Tarragona";359;13,1;7.9;20.3;76;47;100;0;NA;NA;10.5;c(0.81953, 41.15374);"3"
2024-01-25;"YJ";"Lleida - la Femosa";"Lleida";170;5,6;3.5;7.4;99;99;99;0,4;NA;NA;2.4;c(0.64172, 41.58462);"1"
2024-01-25;"YP";"Palafrugell";"Girona";36;8,8;1.5;19.3;89;55;100;0,1;NA;NA;10.5;c(3.16034, 41.90708);"5"
2024-01-26;"D5";"Barcelona - Observatori Fabra";"Barcelona";411;16,3;13.4;20.8;50;39;60;0;NA;NA;10;c(2.12379, 41.41864);"4"
2024-01-26;"WU";"Badalona - Museu";"Barcelona";42;14,6;11.8;21.2;64;40;82;0;NA;NA;9.8;c(2.24757, 41.45215);"2"
2024-01-26;"X1";"Falset";"Tarragona";359;11,6;7.3;18;69;42;97;0;NA;NA;9.3;c(0.81953, 41.15374);"3"
2024-01-26;"YJ";"Lleida - la Femosa";"Lleida";170;5,6;4.7;6.5;99;99;99;0,4;NA;NA;2.2;c(0.64172, 41.58462);"1"
2024-01-26;"YP";"Palafrugell";"Girona";36;9,1;1.3;19.6;86;48;100;0;NA;NA;10;c(3.16034, 41.90708);"5"
2024-01-27;"D5";"Barcelona - Observatori Fabra";"Barcelona";411;13,5;10.9;15.7;62;49;96;0;NA;NA;10.6;c(2.12379, 41.41864);"4"
2024-01-27;"WU";"Badalona - Museu";"Barcelona";42;12,9;10.5;16.3;73;53;86;0;NA;NA;10.2;c(2.24757, 41.45215);"2"
